fixture	nupic_ssim	tinypng_ssim
p205_2400x1600.png	83.4769	82.7375
p206_2400x1600.png	76.1975	73.7825
p207_2400x1600.png	76.7725	73.4802
p208_2400x1600.png	77.1306	77.2047
p209_2400x1600.png	64.2240	70.3963
p20_480x320.png	78.0356	75.2145
p210_2400x1600.png	92.0905	86.7966
p211_2400x1600.png	83.7837	81.8304
p212_2400x1600.png	71.2477	70.2152
p213_2400x1600.png	70.1396	73.5825
p214_2400x1600.png	100.0000	62.4000
p215_2400x1600.png	80.0897	76.9694
p216_2400x1600.png	77.6875	75.3785
p217_2400x1600.png	77.5045	73.5392
p218_2400x1600.png	100.0000	75.9265
p219_2400x1600.png	80.3871	76.7928
p21_480x320.png	85.8261	85.9832
p220_2400x1600.png	64.0289	61.3905
p221_2400x1600.png	65.3860	66.2939
p222_2400x1600.png	96.2909	88.9472
p223_2400x1600.png	90.9637	84.3132
p224_2400x1600.png	72.3379	68.3009
p225_2400x1600.png	75.2054	69.9127
p226_2400x1600.png	96.1313	88.8404
p227_2400x1600.png	100.0000	74.2761
p228_2400x1600.png	71.4378	70.1095
p229_2400x1600.png	79.2847	76.2332
p22_480x320.png	87.8031	87.6968
p230_2400x1600.png	95.1522	90.3452
p231_2400x1600.png	100.0000	67.4302
p232_2400x1600.png	100.0000	74.6268
p233_2400x1600.png	75.9364	71.0688
p234_2400x1600.png	74.0281	64.1256
p235_2400x1600.png	100.0000	60.7990
p236_2400x1600.png	70.4210	63.8424
p237_2400x1600.png	95.6964	89.7758
p238_2400x1600.png	63.2621	73.3367
p239_2400x1600.png	100.0000	81.1944
p23_480x320.png	85.6001	85.1918
p240_3840x2560.png	100.0000	66.0377
p241_3840x2560.png	100.0000	70.3413
p242_3840x2560.png	100.0000	63.7953
p243_3840x2560.png	100.0000	59.8955
p244_3840x2560.png	59.0770	66.1680
p245_3840x2560.png	100.0000	61.9405
p246_3840x2560.png	100.0000	65.4814
p247_3840x2560.png	75.0819	73.5077
p248_3840x2560.png	77.9412	75.5396
p249_3840x2560.png	77.1206	68.7554
p24_480x320.png	86.3752	85.8827
p250_3840x2560.png	77.2167	72.3607
p251_3840x2560.png	75.0873	73.9387
p252_3840x2560.png	76.8888	68.6315
p253_3840x2560.png	78.8738	77.6927
p254_3840x2560.png	76.3853	69.4278
p255_3840x2560.png	73.3413	69.8071
p256_3840x2560.png	75.6476	67.2397
p257_3840x2560.png	69.7318	58.7476
p258_3840x2560.png	67.1293	60.7442
p259_3840x2560.png	62.7522	64.8375
p25_480x320.png	87.3725	88.4597
p260_3840x2560.png	66.6586	57.9844
p261_3840x2560.png	80.4827	78.1541
p262_3840x2560.png	100.0000	82.4364
p263_3840x2560.png	100.0000	75.3925
p264_3840x2560.png	65.1888	74.5107
p265_3840x2560.png	82.2970	79.8291
p266_3840x2560.png	73.1628	71.3861
p267_3840x2560.png	74.8555	71.4845
p268_3840x2560.png	74.5318	75.0657
p269_3840x2560.png	100.0000	66.7723
p26_480x320.png	81.2868	79.4126
p270_3840x2560.png	90.5119	84.4922
p271_3840x2560.png	81.6277	79.9096
p272_3840x2560.png	67.4659	67.9227
p273_3840x2560.png	74.6057	70.9420
p274_3840x2560.png	100.0000	58.3793
p275_3840x2560.png	76.0941	74.2747
p276_3840x2560.png	74.2598	73.9728
p277_3840x2560.png	100.0000	71.8416
p278_3840x2560.png	100.0000	71.5292
p279_3840x2560.png	78.1482	72.8568
p27_480x320.png	81.9249	81.2992
p280_3840x2560.png	100.0000	56.7847
p281_3840x2560.png	100.0000	60.0669
p282_3840x2560.png	95.3132	85.8304
p283_3840x2560.png	100.0000	81.8784
p284_3840x2560.png	66.8210	65.0614
p285_3840x2560.png	71.9348	67.0581
p286_3840x2560.png	95.4534	87.5067
p287_3840x2560.png	100.0000	71.9739
p288_3840x2560.png	67.1103	67.8678
p289_3840x2560.png	78.0976	75.3418
p28_480x320.png	85.0111	82.4212
p290_3840x2560.png	93.7263	88.7854
p291_3840x2560.png	100.0000	64.1638
p292_3840x2560.png	100.0000	71.7400
p293_3840x2560.png	71.9922	66.7260
p294_3840x2560.png	69.5443	60.0420
p295_3840x2560.png	100.0000	59.3348
p296_3840x2560.png	65.3858	60.8970
p297_3840x2560.png	93.8273	87.7766
p298_3840x2560.png	65.8480	71.7718
p299_3840x2560.png	100.0000	80.1772
p29_480x320.png	78.4227	79.4415
p2_480x320.png	77.5528	76.8485
p30_480x320.png	94.8828	90.0481
p31_480x320.png	87.8575	86.9307
p32_480x320.png	77.2807	79.2100
p33_480x320.png	80.2733	78.8974
p34_480x320.png	76.1539	72.9427
p35_480x320.png	81.7991	85.9938
p36_480x320.png	82.2647	82.2548
p37_480x320.png	83.1157	80.2899
p38_480x320.png	83.2404	83.7391
p39_480x320.png	83.5614	83.5079
p3_480x320.png	74.9624	74.8513
p400_sm_380x260.png	78.6759	78.6191
p401_sm_460x320.png	83.7250	82.5392
p402_sm_540x380.png	75.5346	74.6517
