fixture	input_size	tinypng_size	ratio	status
p84_1024x768.png	1315903	464887	0.3533	cached
p85_1024x768.png	841402	469043	0.5575	cached
p86_1024x768.png	1007864	362899	0.3601	cached
p87_1024x768.png	1636768	558368	0.3411	cached
p88_1024x768.png	1377998	555329	0.4030	cached
p89_1024x768.png	782155	292903	0.3745	cached
p8_480x320.png	184125	72744	0.3951	cached
p90_1024x768.png	307356	132566	0.4313	cached
p91_1024x768.png	1152995	562393	0.4878	cached
p92_1024x768.png	846899	317610	0.3750	cached
p93_1024x768.png	1629910	519650	0.3188	cached
p94_1024x768.png	796270	269857	0.3389	cached
p95_1024x768.png	663738	289119	0.4356	cached
p96_1024x768.png	830124	318863	0.3841	cached
p97_1024x768.png	857077	377097	0.4400	cached
p98_1024x768.png	325988	151345	0.4643	cached
p99_1024x768.png	920318	373792	0.4062	cached
p9_480x320.png	205970	78259	0.3800	cached
s000_gradient_1084x959.png	6526	6526	1.0000	cached
s001_gradient_1461x635.png	5499	3288	0.5979	cached
s002_gradient_1592x927.png	113903	75004	0.6585	cached
s003_gradient_2298x2088.png	23975	23975	1.0000	cached
s004_gradient_1546x574.png	5131	2925	0.5701	cached
s005_gradient_1267x606.png	156624	51833	0.3309	cached
s006_gradient_1306x1113.png	8292	8292	1.0000	cached
s007_gradient_575x1620.png	7728	6558	0.8486	cached
s008_gradient_851x1764.png	90945	64993	0.7146	cached
s009_gradient_782x748.png	4104	4104	1.0000	cached
s010_gradient_1689x1549.png	13982	13982	1.0000	cached
s011_gradient_2345x2127.png	300276	191227	0.6368	cached
s012_gradient_2267x2091.png	23623	23623	1.0000	cached
s013_gradient_738x576.png	3262	3262	1.0000	cached
s014_gradient_1019x1768.png	380448	126419	0.3323	cached
s015_gradient_1880x2181.png	21275	21275	1.0000	cached
s016_gradient_1081x1662.png	11828	9687	0.8190	cached
s017_gradient_1023x1665.png	148324	86722	0.5847	cached
s018_gradient_1722x675.png	6281	6281	1.0000	cached
s019_gradient_2029x1022.png	10584	10584	1.0000	cached
s020_gradient_1779x874.png	229589	105710	0.4604	cached
s021_gradient_1369x1631.png	12595	12595	1.0000	cached
s022_gradient_1285x532.png	4228	2571	0.6081	cached
s023_gradient_995x1142.png	129625	72311	0.5578	cached
s024_gradient_818x1299.png	7425	7425	1.0000	cached
s025_noise_400x300.png	313421	119618	0.3817	cached
s026_noise_500x380.png	536002	188431	0.3515	cached
s027_noise_600x460.png	821933	273000	0.3321	cached
s028_noise_700x540.png	1169431	373261	0.3192	cached
s029_noise_800x620.png	1583840	489387	0.3090	cached
s030_noise_900x700.png	2059877	621758	0.3018	cached
s031_noise_1000x780.png	2590990	770535	0.2974	cached
s032_noise_1100x860.png	3173207	935786	0.2949	cached
s033_noise_1200x940.png	3806380	1118644	0.2939	cached
s034_noise_1300x1020.png	4494528	1317528	0.2931	cached
s035_noise_1400x1100.png	5237503	1532886	0.2927	cached
s036_noise_1500x1180.png	6032629	1764860	0.2926	cached
s037_noise_1600x1260.png	6876569	2014224	0.2929	cached
s038_noise_1700x1340.png	7767718	2279270	0.2934	cached
s039_noise_1800x1420.png	8703760	2558581	0.2940	cached
s040_stripes_p2.png	2127	197	0.0926	cached
s041_stripes_p5.png	2125	203	0.0955	cached
s042_stripes_p8.png	2125	195	0.0918	cached
s043_stripes_p11.png	2130	209	0.0981	cached
s044_stripes_p14.png	2129	203	0.0953	cached
s045_stripes_p17.png	2127	213	0.1001	cached
s046_stripes_p20.png	2128	199	0.0935	cached
s047_stripes_p23.png	2130	215	0.1009	cached
s048_stripes_p26.png	2128	207	0.0973	cached
s049_stripes_p29.png	2124	219	0.1031	cached
s050_stripes_p32.png	2128	200	0.0940	cached
s051_stripes_p35.png	2123	220	0.1036	cached
s052_stripes_p38.png	2125	209	0.0984	cached
s053_stripes_p41.png	2122	219	0.1032	cached
s054_stripes_p44.png	2127	203	0.0954	cached
s055_solid.png	469	98	0.2090	cached
s056_solid.png	611	100	0.1637	cached
s057_solid.png	777	103	0.1326	cached
s058_solid.png	902	105	0.1164	cached
s059_solid.png	1037	108	0.1041	cached
s060_solid.png	1216	111	0.0913	cached
s061_solid.png	1414	115	0.0813	cached
s062_solid.png	1668	119	0.0713	cached
s063_solid.png	1848	122	0.0660	cached
s064_solid.png	1981	128	0.0646	cached
s065_text.png	67538	3811	0.0564	cached
s066_text.png	61320	3673	0.0599	cached
s067_text.png	66520	3795	0.0571	cached
s068_text.png	68309	3836	0.0562	cached
s069_text.png	63440	3714	0.0585	cached
s070_text.png	66829	3776	0.0565	cached
s071_text.png	68955	3814	0.0553	cached
s072_text.png	64329	3740	0.0581	cached
s073_text.png	70083	3882	0.0554	cached
s074_text.png	69213	3872	0.0559	cached
s075_text.png	69416	3882	0.0559	cached
s076_text.png	61600	3730	0.0606	cached
s077_text.png	67692	3884	0.0574	cached
s078_text.png	69669	3899	0.0560	cached
s079_text.png	65329	3791	0.0580	cached
s080_chart.png	2931	1092	0.3726	cached
s081_chart.png	3114	1402	0.4502	cached
s082_chart.png	3373	1249	0.3703	cached
s083_chart.png	3449	1883	0.5460	cached
s084_chart.png	3810	1569	0.4118	cached
s085_trans_circle.png	2264	710	0.3136	cached
s086_trans_circle.png	2447	764	0.3122	cached
s087_trans_circle.png	2648	810	0.3059	cached
s088_trans_circle.png	2869	857	0.2987	cached
s089_trans_circle.png	3114	910	0.2922	cached
s090_trans_circle.png	3390	975	0.2876	cached
s091_trans_circle.png	3608	1027	0.2846	cached
s092_trans_circle.png	3886	1125	0.2895	cached
s093_trans_circle.png	4149	1184	0.2854	cached
s094_trans_circle.png	4424	1244	0.2812	cached
s095_sprites.png	6650	3091	0.4648	cached
s096_sprites.png	6544	3037	0.4641	cached
s097_sprites.png	6888	3018	0.4382	cached
s098_sprites.png	7019	3079	0.4387	cached
s099_sprites.png	7108	3089	0.4346	cached
wm00_!-tylewice-wiatrak-windmill-abri-20.png	13702553	4546861	0.3318	cached
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_.png	15481176	4153502	0.2683	cached
wm02_"1930"_Pur_Sang_Type_35_Replica_in_.png	23278159	8384876	0.3602	cached
wm03_"A_Justiça"_sculpture_(Leopoldo_de_.png	20604778	6955915	0.3376	cached
wm04_"A_Justiça"_sculpture_(Leopoldo_de_.png	23248914	6960982	0.2994	cached
wm05_"Access_to_Justice"_by_John_Atkin_(.png	32236063	9306636	0.2887	cached
wm06_"Access_to_Justice"_by_John_Atkin_(.png	31754191	11717157	0.3690	cached
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi.png	28885651	8423737	0.2916	cached
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg.png	15492079	4753932	0.3069	cached
wm09_"Alter_Stern"_in_Siegershausen.jpg.png	16784363	5388853	0.3211	cached
wm10_Birds-1310600,_Wainuiomata,_Welling.png	8482323	3956509	0.4664	cached
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	23128331	7658631	0.3311	cached
wm12_Little_Egret-1000534,_Dingle_Penins.png	22260660	7902013	0.3550	cached
wm13_Little_Egret-1000590,_Dingle_Penins.png	32145364	11343659	0.3529	cached
wm14_Little_Egret-1000593,_Dingle_Penins.png	26151705	8916424	0.3410	cached
wm_0_Cat03.png	2032879	660880	0.3251	cached
