fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
p17_480x320.png	256016	70622	80667	0.8755
p180_2400x1600.png	2370867	575222	874923	0.6575
p181_2400x1600.png	2495018	715362	871705	0.8206
p182_2400x1600.png	2278059	1448123	872395	1.6599
p183_2400x1600.png	2427576	1510513	946607	1.5957
p184_2400x1600.png	2731489	684038	930943	0.7348
p185_2400x1600.png	2017705	1259215	846782	1.4871
p186_2400x1600.png	2965028	721773	1135984	0.6354
p187_2400x1600.png	3292712	1193124	1234609	0.9664
p188_2400x1600.png	3606697	1362884	1375445	0.9909
p189_2400x1600.png	4739803	1737073	1802278	0.9638
p18_480x320.png	316686	90441	102262	0.8844
p190_2400x1600.png	3708639	1545348	1580025	0.9781
p191_2400x1600.png	3256678	1152148	1275620	0.9032
p192_2400x1600.png	6148865	2097172	2284218	0.9181
p193_2400x1600.png	3976015	1666732	1749527	0.9527
p194_2400x1600.png	6032784	2141245	2201631	0.9726
p195_2400x1600.png	4098885	1447241	1474376	0.9816
p196_2400x1600.png	6912678	2295499	2507911	0.9153
p197_2400x1600.png	5336619	1749433	1671726	1.0465
p198_2400x1600.png	5833133	1600202	1715226	0.9329
p199_2400x1600.png	3797441	1168812	1360975	0.8588
p19_480x320.png	213236	56778	71814	0.7906
p1_480x320.png	186026	54196	61574	0.8802
p200_2400x1600.png	5207486	1438284	1479703	0.9720
p201_2400x1600.png	5323652	2492020	2817427	0.8845
p202_2400x1600.png	2077628	1211415	1060846	1.1419
p203_2400x1600.png	2276897	1292871	876934	1.4743
p204_2400x1600.png	5378717	1479957	1829505	0.8089
p205_2400x1600.png	4173672	2336891	2442670	0.9567
p206_2400x1600.png	4382556	1471452	1595194	0.9224
p207_2400x1600.png	7490888	2565555	2520174	1.0180
p208_2400x1600.png	6606843	2564972	2669600	0.9608
p209_2400x1600.png	2484632	674236	1142751	0.5900
p20_480x320.png	264684	70196	85379	0.8222
p210_2400x1600.png	1667600	844212	759432	1.1116
p211_2400x1600.png	5238686	2485267	2589313	0.9598
p212_2400x1600.png	3542434	1053430	1336405	0.7883
p213_2400x1600.png	6695148	1630337	2040118	0.7991
p214_2400x1600.png	2764046	2002396	1098013	1.8237
p215_2400x1600.png	3285695	1277809	1462962	0.8734
p216_2400x1600.png	3143213	1051207	1176646	0.8934
p217_2400x1600.png	3077462	1221712	1366268	0.8942
p218_2400x1600.png	1127667	610220	624499	0.9771
p219_2400x1600.png	4383398	1662225	1779963	0.9339
p21_480x320.png	216116	96181	122600	0.7845
p220_2400x1600.png	3251854	881262	1397664	0.6305
p221_2400x1600.png	2739913	688662	1133522	0.6075
p222_2400x1600.png	2257899	1216100	1146888	1.0603
p223_2400x1600.png	1652092	902585	699818	1.2897
p224_2400x1600.png	3498551	987075	1292086	0.7639
p225_2400x1600.png	4356330	1263180	1372896	0.9201
p226_2400x1600.png	2078183	1105177	975612	1.1328
p227_2400x1600.png	1860505	1066669	869554	1.2267
p228_2400x1600.png	2064375	642786	1065359	0.6034
p229_2400x1600.png	5171624	2021074	2010159	1.0054
p22_480x320.png	139040	43808	62576	0.7001
p230_2400x1600.png	3640841	2024305	1832953	1.1044
p231_2400x1600.png	2006019	1176213	928528	1.2668
p232_2400x1600.png	2441673	1304396	1131028	1.1533
p233_2400x1600.png	4234317	1347595	1470089	0.9167
p234_2400x1600.png	7067497	2422708	2394214	1.0119
p235_2400x1600.png	2491039	1481196	959827	1.5432
p236_2400x1600.png	4928984	1492979	1721716	0.8671
p237_2400x1600.png	2814228	1488941	1384374	1.0755
p238_2400x1600.png	4326445	1128779	1681644	0.6712
p239_2400x1600.png	1459829	874184	730406	1.1968
p23_480x320.png	119613	32419	42052	0.7709
p240_3840x2560.png	5043699	3621017	2083425	1.7380
p241_3840x2560.png	5098998	3860066	1968595	1.9608
p242_3840x2560.png	4815304	3371243	2084698	1.6171
p243_3840x2560.png	5036356	3474685	2234043	1.5553
p244_3840x2560.png	6384451	1820164	2300418	0.7912
p245_3840x2560.png	4026625	2735500	1990567	1.3742
p246_3840x2560.png	6314238	4464587	2711119	1.6468
p247_3840x2560.png	7767695	3063193	2934388	1.0439
p248_3840x2560.png	8702714	3627819	3348938	1.0833
p249_3840x2560.png	9942284	4122672	4016187	1.0265
p24_480x320.png	288289	95179	108411	0.8779
p250_3840x2560.png	7734559	3618536	3287808	1.1006
p251_3840x2560.png	6646075	2509134	2779940	0.9026
p252_3840x2560.png	13398226	5627401	5018616	1.1213
p253_3840x2560.png	8379921	3661238	3780511	0.9685
p254_3840x2560.png	13000199	4821293	4725197	1.0203
p255_3840x2560.png	8831830	3364389	3238798	1.0388
p256_3840x2560.png	15129112	6082490	5555680	1.0948
p257_3840x2560.png	11393235	3953649	3736202	1.0582
p258_3840x2560.png	12636606	3641697	3872527	0.9404
p259_3840x2560.png	8358780	2820287	3159465	0.8926
p25_480x320.png	163379	63248	90175	0.7014
p260_3840x2560.png	11250095	3268641	3153465	1.0365
p261_3840x2560.png	13109557	6362310	6928009	0.9183
p262_3840x2560.png	4291900	2831536	2208078	1.2824
p263_3840x2560.png	4449016	2787655	1907790	1.4612
p264_3840x2560.png	11691361	3346557	4048658	0.8266
p265_3840x2560.png	10219367	5986741	6095883	0.9821
p266_3840x2560.png	9384510	3370308	3551717	0.9489
p267_3840x2560.png	17426126	6269826	5691208	1.1017
