file	w	h	in_KB	out_KB	time_ms	ssim	n_colors
s073_text	800	600	68	4	217.0	93.517715	110
s074_text	800	600	67	3	228.8	92.983973	109
s075_text	800	600	67	4	221.8	93.587203	116
s076_text	800	600	60	3	220.7	93.113530	110
s077_text	800	600	66	4	219.0	93.368005	114
s078_text	800	600	68	4	219.1	93.856420	112
s079_text	800	600	63	3	217.6	93.410041	111
s080_chart	800	500	2	0	175.4	100.000000	7
s081_chart	900	500	3	0	177.8	100.000000	7
s082_chart	1000	500	3	0	185.8	100.000000	7
s083_chart	1100	500	3	0	195.0	100.000000	7
s084_chart	1200	500	3	0	206.9	100.000000	7
s085_trans_circle	400	400	2	0	50.0	100.000000	2
s086_trans_circle	430	430	2	0	53.7	100.000000	2
s087_trans_circle	460	460	2	0	59.4	100.000000	2
s088_trans_circle	490	490	2	0	58.5	100.000000	2
s089_trans_circle	520	520	3	0	52.0	100.000000	2
s090_trans_circle	550	550	3	0	60.4	100.000000	2
s091_trans_circle	580	580	3	1	74.7	100.000000	2
s092_trans_circle	610	610	3	1	73.9	100.000000	2
s093_trans_circle	640	640	4	1	78.5	100.000000	2
s094_trans_circle	670	670	4	1	82.3	100.000000	2
s095_sprites	800	600	6	2	195.3	100.000000	21
s096_sprites	900	600	6	2	228.2	100.000000	21
s097_sprites	1000	600	6	2	216.6	100.000000	21
s098_sprites	1100	600	6	2	206.6	100.000000	21
s099_sprites	1200	600	6	2	211.2	100.000000	21
wm_0_Cat03	1280	1278	1985	528	1282.0	73.705018	208
wm00_!-tylewice-wiatrak-windmill-abri-20	3456	2304	13381	3908	1177.5	67.665680	144
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_	4543	3176	15118	3317	2909.1	54.105195	208
wm02_"1930"_Pur_Sang_Type_35_Replica_in_	5278	3410	22732	7917	2648.5	77.393219	208
wm03_"A_Justiça"_sculpture_(Leopoldo_de_	5754	3843	20121	5807	5127.8	76.462722	208
wm04_"A_Justiça"_sculpture_(Leopoldo_de_	5667	3810	22704	6004	4401.4	69.949845	208
wm05_"Access_to_Justice"_by_John_Atkin_(	4000	5176	31480	8872	3638.8	67.425093	208
wm06_"Access_to_Justice"_by_John_Atkin_(	5600	4000	31009	9799	3579.1	64.811313	208
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi	4200	4800	28208	7416	4060.5	64.574272	208
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg	4200	2800	15128	4277	2338.0	60.513533	208
wm09_"Alter_Stern"_in_Siegershausen.jpg	4000	3000	16390	5238	2019.2	76.809308	208
wm10_Birds-1310600,_Wainuiomata,_Welling	3101	2495	8283	3636	1221.3	60.823523	208
wm11_Crested_hawk-eagle_(Nisaetus_cirrha	4760	3173	22586	6517	2664.0	67.826977	208
wm12_Little_Egret-1000534,_Dingle_Penins	5184	3888	21738	7536	3558.9	68.541979	208
wm13_Little_Egret-1000590,_Dingle_Penins	5184	3888	31391	10701	2814.1	61.479121	208
wm14_Little_Egret-1000593,_Dingle_Penins	5184	3888	25538	8391	3328.7	69.921214	208
