n11_nebula.png	192	0.3	43044	0.004761	60684	0.005113
n17_galaxy.png	96	0.3	67757	0.002949	120520	0.003261
p107_1024x768.png	256	0.3	102219	0.000858	185286	0.000889
p143_1920x1080.png	224	0.6	331543	0.001317	491175	0.001472
p171_1920x1080.png	224	0.3	320090	0.002031	543270	0.002160
p182_2400x1600.png	160	0.3	673169	0.004563	872395	0.005048
p183_2400x1600.png	224	0.0	475838	0.008289	946607	0.008400
p185_2400x1600.png	192	0.0	344978	0.010626	846782	0.010896
p203_2400x1600.png	192	0.0	627922	0.001625	876934	0.001673
p235_2400x1600.png	256	0.3	675629	0.002080	959827	0.002144
p240_3840x2560.png	128	0.0	841607	0.007639	2083425	0.007742
p241_3840x2560.png	256	0.0	1332648	0.005882	1968595	0.005888
p242_3840x2560.png	160	0.3	1474287	0.005088	2084698	0.005684
p243_3840x2560.png	256	0.0	995788	0.008801	2234043	0.009195
p245_3840x2560.png	192	0.0	676711	0.011417	1990567	0.011483
p246_3840x2560.png	224	0.3	2081231	0.004750	2711119	0.004794
p263_3840x2560.png	224	0.0	1211465	0.001733	1907790	0.001840
p280_3840x2560.png	256	0.0	1543221	0.002784	3193108	0.002931
p281_3840x2560.png	192	0.3	1870703	0.001913	2568607	0.001942
p438_sm_620x380.png	224	0.3	36025	0.000356	58444	0.000412
p83_1024x768.png	224	0.3	131224	0.001221	187468	0.001322
