fixture	family	pile	nupic_size	tiny_size	size_ratio	nupic_dssim	tiny_dssim	dssim_delta
p81_1024x768.png	p	PileA	499349	607833	0.8215	0.000216	0.000328	-0.000112
p82_1024x768.png	p	PASS	146594	233067	0.6290	0.000485	0.001274	-0.000789
p83_1024x768.png	p	PileA	310352	187468	1.6555	0.000000	0.001322	-0.001322
p84_1024x768.png	p	PileA	387329	464887	0.8332	0.000554	0.000658	-0.000104
p85_1024x768.png	p	PASS	352240	469043	0.7510	0.000248	0.000355	-0.000107
p86_1024x768.png	p	PileA	325475	362899	0.8969	0.000863	0.001391	-0.000528
p87_1024x768.png	p	PileC	459281	558368	0.8225	0.001844	0.000985	+0.000859
p88_1024x768.png	p	PileA	515745	555329	0.9287	0.000582	0.000801	-0.000219
p89_1024x768.png	p	PileB	190976	292903	0.6520	0.002582	0.001851	+0.000731
p8_480x320.png	p	PileA	65693	72744	0.9031	0.000575	0.000823	-0.000248
p90_1024x768.png	p	PileA	128413	132566	0.9687	0.000186	0.001198	-0.001012
p91_1024x768.png	p	PileA	503523	562393	0.8953	0.000172	0.000324	-0.000152
p92_1024x768.png	p	PASS	241520	317610	0.7604	0.003704	0.004047	-0.000343
p93_1024x768.png	p	PASS	396498	519650	0.7630	0.004799	0.006102	-0.001303
p94_1024x768.png	p	PileB	163833	269857	0.6071	0.005269	0.002666	+0.002603
p95_1024x768.png	p	PASS	209820	289119	0.7257	0.000336	0.000427	-0.000091
p96_1024x768.png	p	PileA	270284	318863	0.8476	0.000467	0.000639	-0.000172
p97_1024x768.png	p	PileA	313105	377097	0.8303	0.000809	0.001128	-0.000319
p98_1024x768.png	p	PileA	187207	151345	1.2370	0.000000	0.000484	-0.000484
p99_1024x768.png	p	PileA	318993	373792	0.8534	0.000570	0.000754	-0.000184
p9_480x320.png	p	PileC	62822	78259	0.8027	0.000923	0.000610	+0.000313
s000_gradient_1084x959.png	s	PileB	3604	6526	0.5523	0.000029	0.000000	+0.000029
s001_gradient_1461x635.png	s	PileA	2979	3288	0.9060	0.000000	0.000380	-0.000380
s002_gradient_1592x927.png	s	PASS	42850	75004	0.5713	0.000007	0.000073	-0.000066
s003_gradient_2298x2088.png	s	PileB	10031	23975	0.4184	0.000020	0.000000	+0.000020
