fixture	pile	c107_size	c107_dssim	tiny_size	tiny_dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both_pass
p238_2400x1600.png	PileB	1403025	0.002852	1681644	0.003200	0.8343	-0.000348	N	Y	N
p298_3840x2560.png	PileB	2999079	0.004144	3710544	0.004291	0.8083	-0.000147	N	Y	N
p34_480x320.png	PileB	46748	0.004500	63502	0.002398	0.7362	+0.002102	Y	N	N
p429_sm_300x320.png	PileB	33890	0.001031	44935	0.000812	0.7542	+0.000219	Y	N	N
p55_480x320.png	PileB	32919	0.001998	52608	0.001790	0.6257	+0.000209	Y	N	N
p63_1024x768.png	PileB	138272	0.007278	229471	0.006507	0.6026	+0.000771	Y	N	N
p89_1024x768.png	PileB	181858	0.002945	292903	0.001851	0.6209	+0.001094	Y	N	N
s000_gradient_1084x959.png	PileB	3117	0.000027	6526	0.000000	0.4776	+0.000027	Y	N	N
s003_gradient_2298x2088.png	PileB	11867	0.000013	23975	0.000000	0.4950	+0.000013	Y	N	N
s009_gradient_782x748.png	PileB	2258	0.000018	4104	0.000000	0.5502	+0.000018	Y	N	N
s010_gradient_1689x1549.png	PileB	5821	0.000021	13982	0.000000	0.4163	+0.000021	Y	N	N
s024_gradient_818x1299.png	PileB	3316	0.000021	7425	0.000000	0.4466	+0.000021	Y	N	N
mi0.png	PileC	732	0.000016	831	0.000006	0.8809	+0.000010	N	N	N
mi2.png	PileC	594	0.000016	698	0.000005	0.8510	+0.000011	N	N	N
p121_1920x1080.png	PileC	402968	0.004695	542483	0.004316	0.7428	+0.000379	Y	N	N
p128_1920x1080.png	PileC	618282	0.000983	756448	0.000997	0.8173	-0.000014	N	Y	N
p136_1920x1080.png	PileC	1378554	0.001177	1427597	0.001485	0.9656	-0.000309	N	Y	N
p138_1920x1080.png	PileC	819889	0.003023	976528	0.002074	0.8396	+0.000949	N	N	N
p17_480x320.png	PileC	71224	0.001789	80667	0.001572	0.8829	+0.000217	N	N	N
p189_2400x1600.png	PileC	1732919	0.000782	1802278	0.000757	0.9615	+0.000025	N	N	N
p196_2400x1600.png	PileC	2432503	0.001292	2507911	0.001742	0.9699	-0.000450	N	Y	N
