fixture	tiny_size	tiny_dssim	r6_only_dssim	hybrid_size	hybrid_dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both
p115_1024x768.png	204799	0.001970	0.000214	96453	0.002759	0.4710	+0.000789	Y	N	N
p125_1920x1080.png	477885	0.009766	0.001514	245000	0.010426	0.5127	+0.000660	Y	N	N
p167_1920x1080.png	452563	0.000880	0.000161	250436	0.001010	0.5534	+0.000130	Y	N	N
p175_1920x1080.png	523233	0.001966	0.000303	241333	0.002968	0.4612	+0.001001	Y	N	N
p214_2400x1600.png	1098013	0.002845	0.001116	563770	0.007186	0.5134	+0.004341	Y	N	N
p274_3840x2560.png	2502418	0.003084	0.001568	1266842	0.008049	0.5062	+0.004965	Y	N	N
