fixture	pile	n_pixels	branch	K	d	c_size	c_dssim	tiny_size	tiny_dssim	ratio	both_pass
n00_mars.png	PASS	739840	small→K128	128	0.0	254458	0.001595	340897	0.002005	0.7464	Y
p10_480x320.png	PASS	153600	small→K128	128	0.0	50825	0.000563	63638	0.000587	0.7987	Y
p159_1920x1080.png	PASS	2073600	small→K128	128	0.0	744422	0.000751	935676	0.000924	0.7956	Y
p220_2400x1600.png	PASS	3840000	small→K128	128	0.0	881262	0.001931	1397664	0.002440	0.6305	Y
p405_sm_380x320.png	PASS	121600	small→K128	128	0.0	29726	0.007307	42507	0.007468	0.6993	Y
p447_sm_540x200.png	PASS	108000	small→K128	128	0.0	22130	0.000562	33626	0.000593	0.6581	Y
p64_1024x768.png	PASS	786432	small→K128	128	0.0	144134	0.002865	216671	0.003442	0.6652	Y
s011_gradient_2345x2127.png	PASS	4987815	small→K128	128	0.0	124343	0.000000	191227	0.000185	0.6502	Y
n09_nebula.png	PileA	819200	small→K128	128	0.0	459804	0.003444	494454	0.008298	0.9299	N
p135_1920x1080.png	PileA	2073600	small→K128	128	0.0	768107	0.001065	835245	0.001255	0.9196	N
p194_2400x1600.png	PileA	3840000	small→K128	128	0.0	2141245	0.000848	2201631	0.001191	0.9726	N
p245_3840x2560.png	PileA	9830400	big→K224	224	0.3	1323911	0.008299	1990567	0.011483	0.6651	Y
p28_480x320.png	PileA	153600	small→K128	128	0.0	102845	0.000550	111664	0.000808	0.9210	N
p436_sm_460x260.png	PileA	119600	small→K128	128	0.0	45049	0.000477	55435	0.000609	0.8126	N
s005_gradient_1267x606.png	PileA	767802	small→K128	128	0.0	43020	0.000022	51833	0.000091	0.8300	N
s069_text.png	PileA	480000	small→K128	128	0.0	4075	0.000006	3714	0.000009	1.0972	N
n03_mars.png	PileB	1350400	small→K128	128	0.0	308972	0.004281	483486	0.004058	0.6391	N
n27_hubble.png	PileB	450000	small→K128	128	0.0	96692	0.004372	126717	0.003664	0.7631	N
p122_1920x1080.png	PileB	2073600	small→K128	128	0.0	309340	0.004795	491824	0.003831	0.6290	N
p178_1920x1080.png	PileB	2073600	small→K128	128	0.0	665144	0.003937	933197	0.002275	0.7128	N
p238_2400x1600.png	PileB	3840000	small→K128	128	0.0	1128779	0.004378	1681644	0.003200	0.6712	N
p429_sm_300x320.png	PileB	96000	small→K128	128	0.0	33994	0.001197	44935	0.000812	0.7565	N
p89_1024x768.png	PileB	786432	small→K128	128	0.0	190976	0.002582	292903	0.001851	0.6520	N
s009_gradient_782x748.png	PileB	584936	small→K128	128	0.0	2499	0.000021	4104	0.000000	0.6089	N
mi0.png	PileC	9216	small→K128	128	0.0	727	0.000016	831	0.000006	0.8748	N
p128_1920x1080.png	PileC	2073600	small→K128	128	0.0	659910	0.001075	756448	0.000997	0.8724	N
p181_2400x1600.png	PileC	3840000	small→K128	128	0.0	715362	0.004992	871705	0.004865	0.8206	N
p1_480x320.png	PileC	153600	small→K128	128	0.0	54196	0.002996	61574	0.002772	0.8802	N
p264_3840x2560.png	PileC	9830400	big→K224	224	0.3	3761676	0.001452	4048658	0.002014	0.9291	N
p61_1024x768.png	PileC	786432	small→K128	128	0.0	196077	0.003371	234630	0.003119	0.8357	N
p87_1024x768.png	PileC	786432	small→K128	128	0.0	459281	0.001844	558368	0.000985	0.8225	N
s038_noise_1700x1340.png	PileC	2278000	small→K128	128	0.0	2048487	0.004539	2279270	0.003326	0.8987	N
01-png-transparency-demo.png	b7	480000	small→K128	128	0.0	36625	0.034110	48295	0.219567	0.7584	Y
02-pluto-transparent.png	b7	399424	small→K128	128	0.0	60789	0.003056	180788	0.018355	0.3362	Y
03-wikipedia-logo.png	b7	36600	small→K128	128	0.0	10135	0.000629	13492	0.131354	0.7512	Y
04-photo-portrait.png	b7	960000	small→K128	128	0.0	434158	0.000808	569959	0.001619	0.7617	Y
05-photo-mountain.png	b7	960000	small→K128	128	0.0	326977	0.003320	434250	0.002231	0.7530	N
06-photo-landscape.png	b7	1440000	small→K128	128	0.0	997089	0.000585	1091878	0.000854	0.9132	N
07-photo-product.png	b7	786432	small→K128	128	0.0	296363	0.000465	367414	0.000715	0.8066	N
