fixture	pile	n_pixels	branch	K	d	c_size	c_dssim	tiny_size	tiny_dssim	ratio	both_pass
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	PileA	15103480	big→K224	224	0.3	7526211	0.001540	7658631	0.002968	0.9827	N
wm12_Little_Egret-1000534,_Dingle_Penins.png	PileA	20155392	big→K224	224	0.3	8400476	0.002189	7902013	0.002847	1.0631	N
wm13_Little_Egret-1000590,_Dingle_Penins.png	PileC	20155392	big→K224	224	0.3	11442857	0.001853	11343659	0.001866	1.0087	N
wm14_Little_Egret-1000593,_Dingle_Penins.png	PileC	20155392	big→K224	224	0.3	9299707	0.002312	8916424	0.002288	1.0430	N
wm_0_Cat03.png	PileB	1635840	small→K128	128	0.0	503297	0.001394	660880	0.001258	0.7616	N
01-png-transparency-demo.png	b7	480000	small→K128	128	0.0	36625	0.034110	48295	0.219567	0.7584	Y
02-pluto-transparent.png	b7	399424	small→K128	128	0.0	60789	0.003056	180788	0.018355	0.3362	Y
03-wikipedia-logo.png	b7	36600	small→K128	128	0.0	10135	0.000629	13492	0.131354	0.7512	Y
04-photo-portrait.png	b7	960000	small→K128	128	0.0	434158	0.000808	569959	0.001619	0.7617	Y
05-photo-mountain.png	b7	960000	small→K128	128	0.0	326977	0.003320	434250	0.002231	0.7530	N
06-photo-landscape.png	b7	1440000	small→K128	128	0.0	997089	0.000585	1091878	0.000854	0.9132	N
07-photo-product.png	b7	786432	small→K128	128	0.0	296363	0.000465	367414	0.000715	0.8066	N
