fixture	pile	n_pixels	c_size	c_dssim	tiny_size	tiny_dssim	baseline_size	baseline_dssim	size_pass	dssim_pass	both	baseline_both	regression
p119_1024x768.png	PASS	786432	137377	0.000333	199798	0.000344	137377	0.000333	Y	Y	Y	Y	
p11_480x320.png	PileA	153600	56605	0.000989	68613	0.001647	56605	0.000989	N	Y	N	N	
p120_1920x1080.png	PASS	2073600	342482	0.004908	520637	0.006654	342482	0.004908	Y	Y	Y	Y	
p121_1920x1080.png	PileC	2073600	434274	0.004583	542483	0.004316	434274	0.004583	N	N	N	N	
p122_1920x1080.png	PileB	2073600	309340	0.004795	491824	0.003831	309340	0.004795	Y	N	N	N	
p123_1920x1080.png	PASS	2073600	313493	0.006540	546648	0.007202	313493	0.006540	Y	Y	Y	Y	
p124_1920x1080.png	PASS	2073600	346041	0.003086	515875	0.003138	346041	0.003086	Y	Y	Y	Y	
p125_1920x1080.png	PileA	2073600	831892	0.000000	477885	0.009766	831892	0.000000	N	Y	N	N	
p126_1920x1080.png	PileB	2073600	423286	0.004067	654601	0.003996	423286	0.004067	Y	N	N	N	
p127_1920x1080.png	PileC	2073600	564913	0.001435	678969	0.001289	564913	0.001435	N	N	N	N	
p128_1920x1080.png	PileC	2073600	659910	0.001075	756448	0.000997	659910	0.001075	N	N	N	N	
p129_1920x1080.png	PileC	2073600	954763	0.000850	1054145	0.000688	954763	0.000850	N	N	N	N	
p12_480x320.png	PileA	153600	76982	0.000670	84452	0.000892	76982	0.000670	N	Y	N	N	
p130_1920x1080.png	PileA	2073600	789787	0.000728	887106	0.000899	789787	0.000728	N	Y	N	N	
p131_1920x1080.png	PileA	2073600	619982	0.001418	751372	0.001911	619982	0.001418	N	Y	N	N	
p132_1920x1080.png	PileA	2073600	1264443	0.000874	1276340	0.001235	1264443	0.000874	N	Y	N	N	
p133_1920x1080.png	PileA	2073600	906968	0.000906	1007424	0.001036	906968	0.000906	N	Y	N	N	
p134_1920x1080.png	PileA	2073600	1149703	0.000814	1302079	0.000990	1149703	0.000814	N	Y	N	N	
p135_1920x1080.png	PileA	2073600	768107	0.001065	835245	0.001255	768107	0.001065	N	Y	N	N	
p136_1920x1080.png	PileC	2073600	1308837	0.001711	1427597	0.001485	1308837	0.001711	N	N	N	N	
p137_1920x1080.png	PileC	2073600	939884	0.002837	946813	0.002387	939884	0.002837	N	N	N	N	
p138_1920x1080.png	PileC	2073600	878016	0.002805	976528	0.002074	878016	0.002805	N	N	N	N	
p139_1920x1080.png	PASS	2073600	565403	0.001140	752508	0.001191	565403	0.001140	Y	Y	Y	Y	
p13_480x320.png	PileA	153600	62344	0.000391	72796	0.000600	62344	0.000391	N	Y	N	N	
p140_1920x1080.png	PileA	2073600	816988	0.009845	890636	0.010287	816988	0.009845	N	Y	N	N	
p141_1920x1080.png	PileA	2073600	1288592	0.000249	1537054	0.000469	1288592	0.000249	N	Y	N	N	
p142_1920x1080.png	PASS	2073600	393647	0.000460	570681	0.000802	393647	0.000460	Y	Y	Y	Y	
p143_1920x1080.png	PileA	2073600	801322	0.000000	491175	0.001472	801322	0.000000	N	Y	N	N	
p144_1920x1080.png	PileA	2073600	875230	0.000900	1071395	0.001040	875230	0.000900	N	Y	N	N	
p145_1920x1080.png	PileA	2073600	1090014	0.000284	1317884	0.000406	1090014	0.000284	N	Y	N	N	
p146_1920x1080.png	PileA	2073600	802772	0.000977	898833	0.001356	802772	0.000977	N	Y	N	N	
p147_1920x1080.png	PileC	2073600	1481996	0.001886	1463999	0.001383	1481996	0.001886	N	N	N	N	
p148_1920x1080.png	PileA	2073600	1511494	0.000624	1558895	0.000901	1511494	0.000624	N	Y	N	N	
p149_1920x1080.png	PileB	2073600	362897	0.003633	649671	0.002464	362897	0.003633	Y	N	N	N	
p14_480x320.png	PileA	153600	110940	0.000632	118639	0.000756	110940	0.000632	N	Y	N	N	
p150_1920x1080.png	PileA	2073600	413853	0.000210	391307	0.000772	413853	0.000210	N	Y	N	N	
p151_1920x1080.png	PileA	2073600	1277971	0.000195	1432808	0.000292	1277971	0.000195	N	Y	N	N	
p152_1920x1080.png	PASS	2073600	560305	0.003764	748369	0.005142	560305	0.003764	Y	Y	Y	Y	
p153_1920x1080.png	PileA	2073600	983205	0.005851	1191403	0.007764	983205	0.005851	N	Y	N	N	
p154_1920x1080.png	PileB	2073600	350092	0.006599	624033	0.002595	350092	0.006599	Y	N	N	N	
p155_1920x1080.png	PASS	2073600	552600	0.000403	755114	0.000539	552600	0.000403	Y	Y	Y	Y	
p156_1920x1080.png	PileA	2073600	612433	0.000550	722150	0.000742	612433	0.000550	N	Y	N	N	
p157_1920x1080.png	PASS	2073600	625018	0.000687	829269	0.000983	625018	0.000687	Y	Y	Y	Y	
p158_1920x1080.png	PileA	2073600	419011	0.000000	381228	0.000562	419011	0.000000	N	Y	N	N	
p159_1920x1080.png	PASS	2073600	744422	0.000751	935676	0.000924	744422	0.000751	Y	Y	Y	Y	
p15_480x320.png	PileA	153600	52398	0.001047	64533	0.001201	52398	0.001047	N	Y	N	N	
p160_1920x1080.png	PASS	2073600	510653	0.001663	807968	0.002318	510653	0.001663	Y	Y	Y	Y	
p161_1920x1080.png	PileB	2073600	389708	0.001657	652332	0.001555	389708	0.001657	Y	N	N	N	
p162_1920x1080.png	PileA	2073600	757157	0.000049	729774	0.000208	757157	0.000049	N	Y	N	N	
p163_1920x1080.png	PileA	2073600	428198	0.000122	345991	0.000641	428198	0.000122	N	Y	N	N	
p164_1920x1080.png	PASS	2073600	526607	0.000975	761907	0.001032	526607	0.000975	Y	Y	Y	Y	
p165_1920x1080.png	PileA	2073600	644676	0.000755	752362	0.001307	644676	0.000755	N	Y	N	N	
p166_1920x1080.png	PileA	2073600	586384	0.000037	556943	0.000124	586384	0.000037	N	Y	N	N	
p167_1920x1080.png	PileA	2073600	614576	0.000000	452563	0.000880	614576	0.000000	N	Y	N	N	
p168_1920x1080.png	PASS	2073600	382327	0.000614	615950	0.000789	382327	0.000614	Y	Y	Y	Y	
p169_1920x1080.png	PileA	2073600	985512	0.000946	1094266	0.001075	985512	0.000946	N	Y	N	N	
p16_480x320.png	PileA	153600	90684	0.001136	100692	0.001276	90684	0.001136	N	Y	N	N	
p170_1920x1080.png	PileA	2073600	919175	0.000045	902056	0.000168	919175	0.000045	N	Y	N	N	
