fixture	tiny_KB	palette_KB	index_raw_KB	index_zlib_KB	nupic_total_KB	ratio_vs_tiny	size_pass_080
p115_1024x768.png	200.0	46.9	768.0	250.6	297.5	1.4874	N
p125_1920x1080.png	466.7	46.5	2025.0	493.0	539.5	1.1560	N
p167_1920x1080.png	442.0	43.8	2025.0	495.7	539.6	1.2209	N
p175_1920x1080.png	511.0	48.1	2025.0	580.1	628.2	1.2295	N
p214_2400x1600.png	1072.3	46.7	3750.0	907.6	954.3	0.8900	N
p274_3840x2560.png	2443.8	45.6	9600.0	1678.6	1724.2	0.7056	Y
